0,a,a,0,0
1,à,a,0,2
2,?,a,0,3
3,ã,a,0,4
4,á,a,0,1
5,?,a,0,5
6,?,a,8,0
7,?,a,8,2
8,?,a,8,3
9,?,a,8,4
10,?,a,8,1
11,?,a,8,5
12,â,a,6,0
13,?,a,6,2
14,?,a,6,3
15,?,a,6,4
16,?,a,6,1
17,?,a,6,5
18,b,b,0,0
19,c,c,0,0
20,d,d,0,0
21,?,d,9,0
22,e,e,0,0
23,è,e,0,2
24,?,e,0,3
25,?,e,0,4
26,é,e,0,1
27,?,e,0,5
28,ê,e,6,0
29,?,e,6,2
30,?,e,6,3
31,?,e,6,4
32,?,e,6,1
33,?,e,6,5
34,f,f,0,0
35,g,g,0,0
36,h,h,0,0
37,i,i,0,0
38,ì,i,0,2
39,?,i,0,3
40,?,i,0,4
41,í,i,0,1
42,?,i,0,5
43,j,j,0,0
44,k,k,0,0
45,l,l,0,0
46,n,n,0,0
47,o,o,0,0
48,ò,o,0,2
49,?,o,0,3
50,õ,o,0,4
51,ó,o,0,1
52,?,o,0,5
53,ô,o,6,0
54,?,o,6,2
55,?,o,6,3
56,?,o,6,4
57,?,o,6,1
58,?,o,6,5
59,?,o,7,0
60,?,o,7,2
61,?,o,7,3
62,?,o,7,4
63,?,o,7,1
64,?,o,7,5
65,p,p,0,0
66,q,q,0,0
67,u,u,0,0
68,ù,u,0,2
69,?,u,0,3
70,?,u,0,4
71,ú,u,0,1
72,?,u,0,5
73,?,u,7,0
74,?,u,7,2
75,?,u,7,3
76,?,u,7,4
77,?,u,7,1
78,?,u,7,5
79,v,v,0,0
80,w,w,0,0
81,x,x,0,0
82,y,y,0,0
83,?,y,0,2
84,?,y,0,3
85,?,y,0,4
86,ý,y,0,1
87,?,y,0,5
88,A,A,0,0
89,À,A,0,2
90,?,A,0,3
91,Ã,A,0,4
92,Á,A,0,1
93,?,A,0,5
94,?,A,8,0
95,?,A,8,2
96,?,A,8,3
97,?,A,8,4
98,?,A,8,1
99,?,A,8,5
100,Â,A,6,0
101,?,A,6,2
102,?,A,6,3
103,?,A,6,4
104,?,A,6,1
105,?,A,6,5
106,B,B,0,0
107,C,C,0,0
108,D,D,0,0
109,?,D,9,0
110,E,E,0,0
111,È,E,0,2
112,?,E,0,3
113,?,E,0,4
114,É,E,0,1
115,?,E,0,5
116,Ê,E,6,0
117,?,E,6,2
118,?,E,6,3
119,?,E,6,4
120,?,E,6,1
121,?,E,6,5
122,F,F,0,0
123,G,G,0,0
124,H,H,0,0
125,I,I,0,0
126,Ì,I,0,2
127,?,I,0,3
128,?,I,0,4
129,Í,I,0,1
130,?,I,0,5
131,J,J,0,0
132,K,K,0,0
133,L,L,0,0
134,N,N,0,0
135,O,O,0,0
136,Ò,O,0,2
137,?,O,0,3
138,Õ,O,0,4
139,Ó,O,0,1
140,?,O,0,5
141,Ô,O,6,0
142,?,O,6,2
143,?,O,6,3
144,?,O,6,4
145,?,O,6,1
146,?,O,6,5
147,?,O,7,0
148,?,O,7,2
149,?,O,7,3
150,?,O,7,4
151,?,O,7,1
152,?,O,7,5
153,P,P,0,0
154,Q,Q,0,0
155,U,U,0,0
156,Ù,U,0,2
157,?,U,0,3
158,?,U,0,4
159,Ú,U,0,1
160,?,U,0,5
161,?,U,7,0
162,?,U,7,2
163,?,U,7,3
164,?,U,7,4
165,?,U,7,1
166,?,U,7,5
167,V,V,0,0
168,W,W,0,0
169,X,X,0,0
170,Y,Y,0,0
171,?,Y,0,2
172,?,Y,0,3
173,?,Y,0,4
174,Ý,Y,0,1
175,?,Y,0,5
176,M,M,0,0
177,R,R,0,0
178,S,S,0,0
179,T,T,0,0
180,Z,Z,0,0
181,m,m,0,0
182,r,r,0,0
183,s,s,0,0
184,t,t,0,0
185,z,z,0,0
